NAME,GEOID,population,med_income,med_rent,med_value,CSAFP,CBSA_TYPE,ALAND,AWATER,land_area_sqkm,AWATER_SQMI,INTPTLAT,INTPTLONG,density,year,log_density,log_income,agglo_index,total_renters,burdened_30_34,burdened_35_39,burdened_40_49,burdened_50_plus,cost_burdened
"Aberdeen, WA Micro Area",10140,72882,40019,693,162200,NA,2,4924769828,834335108,1901.464,322.139,47.113732,-123.826735,38.32941354661461,2010,3.6462175791610045,10.597109620319285,-2.5983872703151194,8460,727,716,587,1614,0.4307328605200946
"Abilene, TX Metro Area",10180,164941,40630,751,90900,101,1,7105669751,36754978,2743.515,14.191,32.452022,-99.718743,60.12032010030928,2010,4.096347889227041,10.612261988981773,-2.070833503300556,22356,2096,1403,2106,4516,0.45271962784040076
"Adrian, MI Micro Area",10300,99763,45563,638,118000,220,2,1941553493,30470229,749.638,11.765,41.896022,-84.074356,133.08156736985052,2010,4.890962228732336,10.7268512626277,-0.8094860854195072,6910,610,204,810,1682,0.4784370477568741
"Aguadilla, PR Metro Area",10380,305988,14313,379,97400,364,1,769383273,354396433,297.061,136.833,18.391555,-67.097202,1030.0510669525788,2010,6.937363659560266,9.568923494184217,-3.020792618537702,31981,1564,970,1294,6171,0.31265438854319755
"Akron, OH Metro Area",10420,702951,46521,702,145000,184,1,2331531037,62112093,900.209,23.982,41.146639,-81.35011,780.8753300622411,2010,6.660415508496201,10.747659102532259,1.1186941729585522,87157,7078,5581,6601,22638,0.48071870303016395
"Albany, GA Metro Area",10500,162659,34002,715,98400,NA,1,4120596142,46238369,1590.971,17.853,31.644686,-84.110718,102.23882144929102,2010,4.627311463267118,10.434174625397674,-2.184855881239143,24596,1432,2012,1711,8337,0.5485444787770369
"Albany, OR Metro Area",10540,116910,42900,762,180600,440,1,5929797337,50130717,2289.508,19.356,44.488898,-122.537208,51.06337256738129,2010,3.933067460697109,10.666627104916108,-2.0372719296636257,15051,1446,1352,751,3865,0.49259185436183645
"Albany-Schenectady-Troy, NY Metro Area",10580,870832,55796,846,199000,104,1,7282540297,172028055,2811.805,66.42,42.78792,-73.942348,309.7056872720548,2010,5.73562245062086,10.929457461212126,0.8349044920743823,122784,10063,6750,9814,31407,0.47265115976022937
"Albertville, AL Micro Area",10700,93235,39343,576,110100,290,2,1465553967,148475491,565.854,57.327,34.309564,-86.321668,164.76865057064188,2010,5.104542372260006,10.580073347296848,-1.137694940573884,10228,517,365,826,2028,0.36527180289401645
"Albuquerque, NM Metro Area",10740,892014,47383,748,183300,105,1,24043814897,31882183,9283.369,12.31,35.123496,-106.458392,96.08731485304526,2010,4.565257307815533,10.766018793563921,-1.0028464735610065,114451,10121,7562,8630,24417,0.4432464548147242
"Alexandria, LA Metro Area",10780,154120,40017,661,113900,NA,1,5096733698,151441988,1967.86,58.472,31.325348,-92.546803,78.31857957375017,2010,4.36078486186972,10.597059642809153,-1.851481872808273,17988,945,1467,1531,5801,0.5416944629753169
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,822141,55630,848,218700,106,1,3763301127,58254848,1453.019,22.492,40.789339,-75.398158,565.815725740682,2010,6.3382684522965,10.926477903069339,1.4537863844217,87515,7361,7443,8071,22503,0.5185168256870251
"Altoona, PA Metro Area",11020,127031,42990,586,105400,107,1,1359916301,3294803,525.067,1.272,40.498683,-78.309597,241.9329342731499,2010,5.48866055664608,10.668722809490328,-0.40299634106110604,14797,965,570,1107,3513,0.41596269514090695
"Amarillo, TX Metro Area",11100,251915,46390,682,114900,108,1,13340987772,84935408,5150.984,32.794,35.247999,-101.90867,48.90618957465214,2010,3.8899039646394944,10.74483919774579,-1.7885220579911083,34127,2815,1090,2944,6547,0.3925337709145252
"Ames, IA Metro Area",11180,89575,48034,686,159000,218,1,2960369524,11071777,1143.005,4.275,42.036128,-93.698008,78.3679861417929,2010,4.361415503934718,10.77966437247371,-1.1646942214911007,17184,1189,501,1782,5685,0.5328794227188082
"Anchorage, AK Metro Area",11260,382964,71490,981,261800,NA,1,68412985449,2066200788,26414.402,797.765,62.212784,-149.678222,14.498302857660757,2010,2.674031598277052,11.177312858760898,-1.4347403515589732,47064,3804,3520,3868,10171,0.4539138194798572
"Ann Arbor, MI Metro Area",11460,345290,55880,839,190600,220,1,1828539923,42523115,706.003,16.418,42.252217,-83.843423,489.0772418814084,2010,6.192520435858371,10.930961813370898,1.3182522357498778,49637,4573,2281,4200,12803,0.4806293692205411
"Anniston-Oxford, AL Metro Area",11500,118510,36675,607,102500,NA,1,1569256885,16525540,605.893,6.381,33.770516,-85.827909,195.5955919609568,2010,5.276049221359849,10.509850603011182,-1.2222399005075526,14921,1032,462,1684,3653,0.45781113866362844
"Appleton, WI Metro Area",11540,225952,55883,676,161000,118,1,2475529658,222422502,955.807,85.878,44.290603,-88.372326,236.3991893760979,2010,5.465521856490945,10.931015498400841,0.5583636206581245,21431,1160,1266,1725,3828,0.3723111380710186
"Asheville, NC Metro Area",11700,422752,42168,730,183800,120,1,3830729933,19336007,1479.053,7.466,35.61634,-82.570683,285.8261333434299,2010,5.655383700585675,10.649416918535042,-0.301225176661844,54618,3995,2618,5733,12583,0.4564246219195137
"Athens, TX Micro Area",11980,78647,36570,572,94300,206,2,2263061904,193353703,873.773,74.654,32.211633,-95.853418,90.00850335270144,2010,4.499904147563833,10.506983511143426,-2.044486751675146,7057,534,1067,522,1288,0.48334986538189034
"Athens-Clarke County, GA Metro Area",12020,192738,40391,749,160200,122,1,2654827239,26179161,1025.035,10.108,33.943984,-83.213897,188.03065261186202,2010,5.236604995347203,10.606362266854584,-0.900841724522051,26251,2140,1624,2955,7188,0.5297702944649728
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,5288302,53182,910,175900,122,1,22754281350,384413339,8785.478,148.423,33.732402,-84.392848,601.9367415182192,2010,6.400152359252955,10.881475272213198,1.349391967673415,629660,52291,41409,56774,164990,0.5010068926087095
"Atlantic City-Hammonton, NJ Metro Area",12100,274685,52571,993,238400,428,1,2090376442,1256255921,807.099,485.043,39.286186,-74.738311,340.33619171873585,2010,5.829933928243077,10.869919915888612,0.7097994672968174,26581,3204,1694,2666,8518,0.6050186223242165
"Auburn, NY Micro Area",12180,79978,49136,651,102400,532,2,1791207571,445691131,691.589,172.082,43.008546,-76.574587,115.64382892151262,2010,4.750515027301422,10.802347242680604,-0.6726537703970578,8096,833,561,365,1444,0.3956274703557312
"Auburn-Opelika, AL Metro Area",12220,140780,39381,696,151900,194,1,3149998017,33246652,1216.221,12.837,32.492206,-85.527127,115.75198915328711,2010,4.751449877728293,10.581038745471517,-1.5032321763308762,20023,1470,1121,2269,6930,0.5888228537182241
