NAME,GEOID,population,med_income,med_rent,med_value,CSAFP,CBSA_TYPE,ALAND,AWATER,land_area_sqkm,AWATER_SQMI,INTPTLAT,INTPTLONG,density,year,log_density,log_income,agglo_index,total_renters,burdened_30_34,burdened_35_39,burdened_40_49,burdened_50_plus,cost_burdened,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing,information,finance_real_estate,professional_services,education_health,leisure_hospitality,other_services,public_administration,industry_hhi,industry_diversity,cbsa_name,area_sq_miles,total_employment_density,log_employment_density,employment_density_z,housing_density,log_housing_density
"Aberdeen, WA Micro Area",10140,72546,40993,673,149500,NA,2,4924769828,834335108,1901.464,322.139,47.113732,-123.826735,38.15270759793506,2011,3.64159672763498,10.621156599402813,-2.5128631123516874,7205,602,745,542,1993,0.538792505204719,27983,0.05406854161455169,0.016617231890790837,0.09555801736768753,0.00561054926205196,0.2238144587785441,0,0.013400993460315192,0.0015009112675553014,0.007147196512168102,0.00839795590179752,0.017189007611764284,0.0013222313547510988,0.0643962405746346,0.06720279801288218,0.9327972019871178,"Aberdeen, WA Micro Area",1930.4737481640834,14.495405610468598,2.740543567758581,-0.8710914668217802,18.12612061328368,2.9510549721546524
"Abilene, TX Metro Area",10180,165858,40659,703,81900,101,1,7105669751,36754978,2743.515,14.191,32.452022,-99.718743,60.45456285094122,2011,4.101892055617372,10.612975492684123,-2.062356020646245,19339,1862,913,2091,4266,0.47220642225554577,70799,0.03524061074308959,0.017034138900266952,0.061752284636788654,0.010875859828528652,0.2051300159606774,8.474695970282066e-5,0.01686464498086131,0.00299439257616633,0.013644260512154126,0.01185044986511109,0.0035876212940860745,0.0037288662269241092,0.0315964914758683,0.049187117536199684,0.9508128824638004,"Abilene, TX Metro Area",2759.4852415519736,25.65659672098179,3.2830366517250833,-0.36881607027054225,25.177884249500313,3.2649149416888954
"Adrian, MI Micro Area",10300,99440,44509,662,116100,220,2,1941553493,30470229,749.638,11.765,41.896022,-84.074356,132.65069273435978,2011,4.887719302841954,10.703446694896137,-0.900818137638448,8663,253,776,754,2853,0.5351494863211359,44217,0.026098559377614943,0.014112219282176538,0.040369088811995385,0.00775719745799127,0.19734491259018025,0,0.01311712689689486,0.0011986340095438406,0.012325576135875342,0.009883076644729403,0.01727842232625461,2.7138883234954883e-4,0.11276205984123754,0.054952131945980545,0.9450478680540194,"Adrian, MI Micro Area",760.099954892324,58.1726123194729,4.080458805105173,0.36948924669172567,57.10038491733411,4.062172288919123
"Aguadilla, PR Metro Area",10380,304633,14951,370,111100,364,1,769383273,354396433,297.061,136.833,18.391555,-67.097202,1025.489714233777,2011,6.932925547460942,9.612533466213929,-2.861570417953859,32971,1114,846,1335,4331,0.2312941676018319,76862,0.02936431526632146,0.010226119538913898,0.10172777185084958,0.009705706330826677,0.21768884494288465,1.8214462283052744e-4,0.028323488850147016,1.4311363222398583e-4,0.007988342744138847,0.003083448257916786,0.007350836564232,0.0019515495303270797,0.08366943353022299,0.06673202244837871,0.9332679775516213,"Aguadilla-Isabela, PR Metro Area",476.3166622312691,161.3674391316605,5.08986190966742,1.3040603216205986,261.5759848004342,5.570540506050922
"Akron, OH Metro Area",10420,701456,47032,714,139800,184,1,2331531037,62112093,900.209,23.982,41.146639,-81.35011,779.2146046084854,2011,6.658286495233381,10.758583500082093,1.1575161378526593,88590,8480,6049,8583,23309,0.5239981939270798,338863,0.0032609048494524335,0.019037192021554433,0.0322726293516849,0.013946639202273485,0.17145276999849496,5.223349849349147e-4,0.015245099051829206,2.3903465412275756e-4,0.014147310269932097,0.006872984067307437,0.007926507172515146,9.886001127299233e-4,0.08396903763467832,0.038599865312767635,0.9614001346872324,"Akron, OH Metro Area",922.9660389134556,367.1456865291816,5.908478747133786,2.0619890562242054,338.08827935570406,5.826260484558143
"Albany, GA Metro Area",10500,161617,32775,680,103800,NA,1,4120596142,46238369,1590.971,17.853,31.644686,-84.110718,101.58387550747312,2011,4.620884816914202,10.3974213086319,-2.3296738404316546,26415,2718,2011,2327,7262,0.5420405072875261,62609,0.02753597725566612,0.019741570700697982,0.071475346994841,0.012330495615646312,0.18832755674104362,0,0.019294350652462107,0.0014694373013464518,0.013177019278378508,0.007570796530850197,0.012633966362663515,2.0763787953808558e-4,0.06896772029580411,0.04739758330796587,0.9526024166920342,"Albany, GA Metro Area",1610.2035553112835,38.882661632116736,3.6859416838925507,0.00421962508755726,41.04450010807703,3.7387285837642357
"Albany, OR Metro Area",10540,118122,42565,718,169900,440,1,5929797337,50130717,2289.508,19.356,44.488898,-122.537208,51.59274394324021,2011,3.9433810413443866,10.658787598318158,-2.055945453165058,16533,1268,1103,1201,4167,0.4680941148007016,49335,0.05543731630688153,0.014999493260362826,0.047086247086247084,0.012222560048647005,0.18179791223269484,0,0.014675179892571198,0.003891760413499544,0.011614472484037701,0.007722712070538157,0.018019661497922366,0.002249923989054424,0.08839566230870578,0.047283873798606706,0.9527161262013933,"Albany-Lebanon, OR Metro Area",2303.9025490466283,21.413666138099106,3.1096708682792786,-0.5293293933012824,21.034309814906674,3.0926007755845055
"Albany-Schenectady-Troy, NY Metro Area",10580,871478,58617,860,197300,104,1,7282540297,172028055,2811.805,66.42,42.78792,-73.942348,309.9354329336494,2011,5.736363994926526,10.978780035882622,1.0210069421861334,117543,8190,8010,10423,27822,0.46319219349514645,435832,0.006559867104755961,0.022029130490647773,0.10694946676701114,0.01068301547385231,0.16527469300097286,2.6845206409809285e-4,0.013785128214541384,3.0057453330641163e-4,0.012266194313405166,0.008374786615025973,0.004308999798087337,0.0015694120670350043,0.029692633858918117,0.04070982563874388,0.9592901743612561,"Albany-Schenectady-Troy, NY Metro Area",2873.351176878446,151.6807285886578,5.028348999863663,1.2471076671483987,136.33384013490945,4.922414750977346
"Albertville, AL Micro Area",10700,94166,39245,611,121400,290,2,1465553967,148475491,565.854,57.327,34.309564,-86.321668,166.41395130192592,2011,5.114478366831257,10.577579326560912,-1.1366778366407717,8614,550,459,964,1578,0.4122358950545623,38481,0.023596060393440917,0.02055559886697331,0.046438502117928326,0.0092253319820171,0.1539461032717445,0,0.017800992697694966,5.457238637249552e-4,0.014266781008809543,0.0052233569813674285,0.015384215586913021,1.5592110392141577e-4,0.14084873054234556,0.04754341160263319,0.9524565883973668,"Albertville, AL Micro Area",623.313303147704,61.73620842948913,4.138938767871178,0.42363380144592133,64.41383457924661,4.180733774001134
"Albuquerque, NM Metro Area",10740,899149,45027,755,176800,105,1,24043814897,31882183,9283.369,12.31,35.123496,-106.458392,96.85589358776969,2011,4.573224240740527,10.715017588824423,-1.1861514212235,115518,9146,8235,10425,29329,0.4945982444294395,403879,0.011961503321539372,0.0217664201406857,0.0695010139175347,0.012550788726326449,0.18368372705686603,5.422416119679409e-4,0.02140244974361133,9.879196492018649e-4,0.011800564030316011,0.006806494024200318,0.0065539431364344276,0.0014014098281911165,0.02632719205504619,0.04072743512637888,0.9592725648736211,"Albuquerque, NM Metro Area",9295.551501790284,43.448632383158184,3.794334193953584,0.1045764638808261,40.01279536005645,3.713884099969461
