NAME,GEOID,population,med_income,med_rent,med_value,CSAFP,CBSA_TYPE,ALAND,AWATER,land_area_sqkm,AWATER_SQMI,INTPTLAT,INTPTLONG,density,year,log_density,log_income,agglo_index,total_renters,burdened_30_34,burdened_35_39,burdened_40_49,burdened_50_plus,cost_burdened,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing,information,finance_real_estate,professional_services,education_health,leisure_hospitality,other_services,public_administration,industry_hhi,industry_diversity,cbsa_name,area_sq_miles,total_employment_density,log_employment_density,employment_density_z,housing_units,housing_density,log_housing_density,z_housing_density
"Aberdeen, SD Micro Area",10100,40058,45694,469,111800,NA,2,7353004126,111384253,2839.011,43.006,45.519435,-98.7007,14.10984318130504,2010,2.646872651791979,10.729722277234428,-2.111852076190233,4911,212,197,331,688,0.2907758094074527,21834,0.06668498671796282,0.016533846294769627,0.04873133644774205,0.013465237702665568,0.17797929834203535,1.374003847210772e-4,0.010167628469359714,0.002381606668498672,0.007602821287899606,0.00787762205734176,0.0046258129522762665,1.374003847210772e-4,0.07295960428689201,0.04452639424429868,0.9554736057557013,"Aberdeen, SD Micro Area",2875.488159861383,7.593145506484206,2.027245933287864,-1.4137217105737239,18505,6.435429037166357,2.006256283313332,-1.603699329325264
"Aberdeen, WA Micro Area",10140,72092,41899,655,158200,NA,2,4924769828,834335108,1901.464,322.139,47.113732,-123.826735,37.913944202993065,2010,3.635318965345374,10.643017239276974,-1.551958746439399,8828,539,438,457,1972,0.385817852288174,28601,0.05660641236320409,0.010174469424146008,0.09454214887591343,0.00611866717946925,0.22764938288871017,0,0.016852557602881017,9.789867487150798e-4,0.010943673298136428,0.007272472990454879,0.018041327226320757,0.0020628649347924897,0.06415859585329184,0.06901139356359327,0.9309886064364067,"Aberdeen, WA Micro Area",1930.4737481640834,14.815534283851353,2.6956762440844186,-0.825228548443132,34728,17.989366616887164,2.943879170760169,-0.7125933115237991
"Abilene, TX Metro Area",10180,163092,42286,709,83400,101,1,7105669751,36754978,2743.515,14.191,32.452022,-99.718743,59.44636716037638,2010,4.085074513790702,10.652211340984817,-1.1089280894538545,21103,1496,1592,1755,4451,0.4404113159266455,71829,0.032396385860864,0.017513817538877055,0.06018460510378816,0.009773211377020424,0.20114438458004427,8.074733046541091e-4,0.016748110094808505,0.0026590931239471524,0.013657436411477259,0.012446226454496095,0.0029514541480460538,0.003675395731529048,0.028971585292848292,0.04702425389500433,0.9529757461049957,"Abilene, TX Metro Area",2759.4852415519736,26.02985474189467,3.2592441385796347,-0.3290573740516803,69156,25.061195819661528,3.2604474578143496,-0.4117304492623692
"Ada, OK Micro Area",10220,36644,37484,522,92500,NA,2,1865705452,12725534,720.353,4.913,34.721421,-96.691804,50.8695042569407,2010,3.9292636134941015,10.531669454243714,-1.716609117396572,5129,327,363,509,1025,0.43361279001754727,17530,0.05094124358243012,0.016714204221334853,0.0715345122646891,0.006731317741015402,0.17318881916714204,0,0.01100969766115231,0.0018824871648602396,0.008442669709070165,0.006560182544209926,0.007586993725042784,0,0.044095835710211063,0.04027231615657487,0.9597276838434251,"Ada, OK Micro Area",725.353721891724,24.167519199159443,3.185009549776891,-0.3944142963790512,16426,22.645503158322477,3.163172955561647,-0.5041790184009295
"Adrian, MI Micro Area",10300,100911,48618,646,140400,220,2,1941553493,30470229,749.638,11.765,41.896022,-84.074356,134.61297319506215,2010,4.902403795887467,10.79174911168878,0.17156131192950078,7633,519,651,561,1761,0.45748722651644175,45162,0.027213143793454676,0.013617643151321909,0.04572428147557681,0.008635578583765112,0.1880120455249989,0,0.010340551791328994,7.971303308090873e-4,0.013551215623754484,0.007904875780523448,0.017824719897258756,2.657101102696958e-4,0.13106151189052742,0.05628840387095814,0.9437115961290419,"Adrian, MI Micro Area",760.099954892324,59.415869859376144,4.084561360034991,0.3975606945339674,43331,57.00697614978583,4.060563281758131,0.3486904355092891
"Akron, OH Metro Area",10420,703093,48570,727,144800,184,1,2331531037,62112093,900.209,23.982,41.146639,-81.35011,781.0330712090193,2010,6.6606174936410225,10.790761335339791,1.7605574648020488,87176,7479,4540,6842,22353,0.4727677342387813,342449,0.003644338281028708,0.01990369368869525,0.03092139267452964,0.01423569641026839,0.16904414963980038,4.613825708353653e-4,0.015024134980683255,3.1829557101933426e-4,0.014758401981024911,0.007872705132735093,0.009017401131263342,0.0010600118557799847,0.0849498757479216,0.03794889759951031,0.9620511024004896,"Akron, OH Metro Area",922.9660389134556,371.0309865822817,5.916285580904811,2.010230200209579,311174,337.1456661247512,5.823476767510461,2.0241431543469894
"Alamogordo, NM Micro Area",10460,62782,39615,582,104500,NA,2,17126455958,36944199,6612.562,14.264,32.615599,-105.751308,9.494353323265628,2010,2.2506972348638277,10.586963113399342,-3.023273018662911,7797,647,403,409,1274,0.3505194305502116,24218,0.016929556528202164,0.013213312412255348,0.15794037492773969,0.007226030225452143,0.22536955983153026,9.084152283425551e-4,0.013832686431579817,7.019572219010654e-4,0.012387480386489388,0.009662234701461722,0.004996283755884053,0.00243620447600958,0.022586505904698986,0.0772305353713732,0.9227694646286269,"Alamogordo, NM Micro Area",6630.868057903533,3.652312154082727,1.2953604339109335,-2.05808149631203,30913,4.661983880549977,1.7337743397322778,-1.8626630373555715
"Albany, GA Metro Area",10500,157528,36828,615,104200,NA,1,4120596142,46238369,1590.971,17.853,31.644686,-84.110718,99.01374695076152,2010,4.595258698583198,10.514013704407736,-1.1815961400259076,24847,1777,1360,1980,6364,0.46206785527427857,63346,0.027752344267988508,0.020238057651627568,0.07397467874846084,0.009550721434660436,0.18143213462570643,1.4207684778833708e-4,0.01635462381207969,0.001247118997253181,0.013197360527894421,0.005414706532377735,0.014176112145991853,3.3151264483945316e-4,0.07291699554825877,0.04565135931996833,0.9543486406800317,"Albany, GA Metro Area",1610.2035553112835,39.34036773863289,3.672251160620144,0.034558405270353476,66272,41.15752929584629,3.7414132994761826,0.045373959770208847
"Albany, OR Metro Area",10540,114315,45832,737,180300,440,1,5929797337,50130717,2289.508,19.356,44.488898,-122.537208,49.92994127996059,2010,3.910620848464572,10.732737816088411,-0.9553133821335676,14116,984,808,1173,3503,0.4582034570699915,49426,0.055294784121717316,0.016327438999716747,0.042851940274349534,0.01112774653016631,0.17735604742443248,3.237162626957472e-4,0.01681301339376037,0.004390401812811071,0.011977501719742645,0.009225913486828795,0.02087969894387569,0.0019018330433375147,0.09252215433172824,0.04626994520737446,0.9537300547926255,"Albany-Lebanon, OR Metro Area",2303.9025490466283,21.453164336509303,3.0658721560093825,-0.49930412625927934,48007,20.83725286899207,3.083617358578375,-0.5797877435832075
"Albany-Schenectady-Troy, NY Metro Area",10580,865982,57781,831,189600,104,1,7282540297,172028055,2811.805,66.42,42.78792,-73.942348,307.9808165929003,2010,5.730037497244574,10.964415280897114,1.5896009758417924,116988,9274,6302,8998,26930,0.4402502820802134,435627,0.00646424578825463,0.023478801818987344,0.10781930412945019,0.01107828486296763,0.1624876327684005,3.2596693960659003e-4,0.013614858583145673,3.030115213244358e-4,0.012689755226374857,0.008628941732261775,0.004513035234271521,0.0015081709811375328,0.030025687113057732,0.04008823707074503,0.959911762929255,"Albany-Schenectady-Troy, NY Metro Area",2873.351176878446,151.60938332405888,5.021307366570271,1.2222818518408762,389620,135.5977658196572,4.917040591363529,1.1626766285916892
